k,fb,lambda1,lambda2,omega
3.141592653589793,0,-18.1663261758,-18.1663261758,96.5195292093
3.141592653589793,0,-4.76654420004,-4.76654420004,-34.4287694671
3.141592653589793,40000,-17.8118313521,-17.8118313521,77.7134416512
3.141592653589793,20000,-19.7526038759,-19.7526038759,79.5144722122
3.141592653589793,13333,-16.8531494944,-16.8531494944,88.1505049267
3.141592653589793,10000,-13.4191709062,-13.4191709062,69.4649410418
3.141592653589793,8000,-16.3169478808,-16.3169478808,74.9954841032
3.141592653589793,6666,-12.9956682481,-12.9956682481,67.7550060775
3.141592653589793,5714,-11.1203710785,-11.1203710785,61.174230431
3.141592653589793,5000,-11.6328902405,-11.6328902405,61.3317298332
3.141592653589793,4444,-4.62846855575,-4.62846855575,59.2752838567
3.141592653589793,4000,-3.93347860329,-3.93347860329,89.5629201305

